sig,m,eci,d,diam
G??@}{,10,43,5,3
G?`HW{,10,44,5,3
G??Kz[,10,44,5,3
G??gvk,10,44,5,3
G??G~[,10,44,5,3
G??_~s,10,44,5,3
G??g}[,10,44,5,3
G??Hnw,10,45,5,3
G??P}[,10,45,5,3
G??G~k,10,45,5,3
G??P]{,10,45,5,3
G?CO^[,10,45,5,3
G?CP][,10,45,5,3
G@?gu[,10,46,5,3
G?GGnk,10,46,5,3
G@?DY{,10,46,5,3
G@GSY[,10,46,5,3
G?GXe[,10,46,5,3
G??H~c,10,46,5,3
G??XvK,10,46,5,3
G??@~w,10,46,5,3
G??Jd{,10,46,5,3
G??G~w,10,46,5,3
G?D@Ns,10,47,5,3
G?AAx{,10,47,5,3
G?@@~o,10,47,5,3
G??g~c,10,47,5,3
G@?G~W,10,47,5,3
G??W~K,10,47,5,3
G??XvW,10,47,5,3
G??g}k,10,47,5,3
G?@P[{,10,47,5,3
G?@_{{,10,47,5,3
G?@Hno,10,47,5,3
G??_}{,10,47,5,3
G?H?|k,10,48,5,3
G?DH[k,10,48,5,3
G??xuK,10,48,5,3
G??g~o,10,48,5,3
G@?G^k,10,48,5,3
G@?G~K,10,48,5,3
G`_gqK,10,48,5,3
G?C_~K,10,48,5,3
G?qaho,10,48,5,3
G??W~S,10,48,5,3
G?GQ\k,10,48,5,3
G?GZeW,10,48,5,3
G?GO]{,10,48,5,3
G?Cg}K,10,48,5,3
G??H~g,10,48,5,3
G?CeH{,10,48,5,3
G?CJK{,10,48,5,3
G?D@L{,10,48,5,3
G@?sY[,10,48,5,3
G??Jfw,10,48,5,3
G@?I\k,10,48,5,3
G?GIlk,10,48,5,3
G??X]s,10,48,5,3
G`?CzW,10,48,5,3
G?Gq[k,10,48,5,3
G@?g}K,10,48,5,3
G?CHm[,10,48,5,3
G?GO}[,10,48,5,3
G?CP^K,10,48,5,3
G??ZVg,10,48,5,3
G?GQ^g,10,48,5,3
G?D@[{,10,48,5,3
G?EBH{,10,48,5,3
G?DDJs,10,49,5,3
G?GO~W,10,49,5,3
G??W~o,10,49,5,3
G??q\s,10,49,5,3
GGD@[k,10,49,5,3
G??uP{,10,49,5,3
G@OKJk,10,49,5,3
G??itk,10,49,5,3
G?CJNc,10,49,5,3
G?@czo,10,49,5,3
G?@Htw,10,49,5,3
GGCO^K,10,49,5,3
GG?WvK,10,49,5,3
GAGO^K,10,49,5,3
G??|Qs,10,49,5,3
G?CP^W,10,49,5,3
G?CqT[,10,49,5,3
G?@Hd{,10,49,5,3
G?DPVK,10,49,5,3
G??}Ps,10,49,5,3
GGDDG{,10,49,5,3
